Cooling Rate	Total Wire Length
0.0720302	83.4795
0.0648272	83.4795
0.0583445	83.4795
0.05251	83.4795
0.047259	83.4795
0.0425331	83.4795
0.0382798	80.3564
0.0344518	80.3564
0.0310066	79.4302
0.027906	79.4302
0.0251154	79.4302
0.0226038	79.4302
0.0203435	79.4302
0.0183091	79.4302
0.0164782	79.4302
0.0148304	79.4302
0.0133473	79.4302
0.0120126	79.4302
0.0108113	79.4302
0.00973021	78.0607
0.00875719	78.0607
0.00788147	78.0607
0.00709332	77.4684
0.00638399	77.4684
0.00574559	77.4684
0.00517103	77.4684
0.00465393	77.4684
0.00418854	77.4684
0.00376968	77.4684
0.00339272	77.4684
0.00305344	77.4684
0.0027481	76.2323
0.00247329	76.2323
0.00222596	76.2323
0.00200336	76.2323
0.00180303	76.2323
0.00162273	76.2323
0.00146045	76.2323
0.00131441	76.2323
0.00118297	76.2323
0.00106467	76.2323
0.000958203	76.2323
0.000862383	76.2323
0.000776144	76.2323
0.00069853	76.2323
0.000628677	76.2323
0.000565809	76.2323
0.000509228	76.2323
0.000458305	76.2323
0.000412475	76.2323
0.000371227	76.2323
0.000334105	76.2323
0.000300694	76.2323
0.000270625	76.2323
0.000243562	76.2323
0.000219206	76.2323
0.000197285	76.2323
0.000177557	76.2323
0.000159801	75.582
0.000143821	75.582
0.000129439	75.582
0.000116495	75.582
0.000104846	75.582
9.4361e-005	75.582
8.49249e-005	75.582
7.64324e-005	75.582
6.87892e-005	75.582
6.19103e-005	75.582
5.57192e-005	75.582
5.01473e-005	73.1744
4.51326e-005	73.1744
4.06193e-005	73.1744
3.65574e-005	72.4253
3.29017e-005	69.9532
2.96115e-005	69.9532
2.66503e-005	69.9532
2.39853e-005	68.7909
2.15868e-005	68.7909
1.94281e-005	68.7909
1.74853e-005	68.7909
1.57368e-005	67.7198
1.41631e-005	66.5576
1.27468e-005	66.5576
1.14721e-005	66.5576
1.03249e-005	66.5576
9.2924e-006	66.5576
8.36316e-006	66.5576
7.52684e-006	66.5576
6.77416e-006	66.5576
